cause_name,sex,age,deaths,ylls,ylds,dalys
Tuberculosis,Female,35 to 39,11304.87273,560098.9524,21789.53592,581888.4884
Tuberculosis,Female,70 to 74,18913.09642,326664.2038,11406.41574,338070.6195
Tuberculosis,Female,40 to 44,10192.89484,455033.9062,20898.69314,475932.5994
Tuberculosis,Female,50 to 54,11849.88477,415819.5945,18020.50399,433840.0984
Tuberculosis,Female,15 to 19,4909.005913,339851.2734,13973.60643,353824.8798
Tuberculosis,Female,5 to 9,1795.171367,142389.76,1049.785399,143439.5454
Tuberculosis,Female,80 plus,13864.89082,100352.4406,5246.238651,105598.6793
Tuberculosis,Female,55 to 59,15708.03574,477991.0934,18738.7588,496729.8522
Tuberculosis,Female,20 to 24,9651.212964,621262.5383,19982.316,641244.8543
Tuberculosis,Female,Under 5,8056.236353,687328.4193,1314.823598,688643.2429
Tuberculosis,Female,25 to 29,10947.96508,650885.4544,22752.42131,673637.8757
Tuberculosis,Female,65 to 69,17034.57898,366068.0699,14269.95609,380338.026
Tuberculosis,Female,45 to 49,12120.84469,482549.6329,19322.98889,501872.6218
Tuberculosis,Female,10 to 14,2002.626406,148683.4866,4016.736589,152700.2232
Tuberculosis,Female,60 to 64,16631.91989,430612.2658,17908.55924,448520.8251
Tuberculosis,Female,75 to 79,13413.5495,178899.6525,7252.968461,186152.621
Tuberculosis,Female,30 to 34,10179.66268,554603.3182,22425.977,577029.2952
HIV/AIDS,Female,35 to 39,5105.095362,252924.4626,11049.50598,263973.9686
HIV/AIDS,Female,5 to 9,387.2891652,30719.07914,1185.964962,31905.0441
HIV/AIDS,Female,70 to 74,237.0136798,4093.554131,607.8672046,4701.421335
HIV/AIDS,Female,Under 5,592.8597629,50669.3838,745.6052759,51414.98907
HIV/AIDS,Female,40 to 44,5561.618658,248270.3958,11213.95924,259484.3551
HIV/AIDS,Female,15 to 19,1426.636342,98765.91425,1832.958177,100598.8724
HIV/AIDS,Female,50 to 54,2613.328734,91696.45413,5251.943852,96948.39798
HIV/AIDS,Female,75 to 79,126.7876342,1690.961415,326.2971956,2017.258611
HIV/AIDS,Female,20 to 24,609.6020302,39241.01202,1694.099289,40935.11131
HIV/AIDS,Female,80 plus,68.86752999,498.6011738,170.7181337,669.3193075
HIV/AIDS,Female,55 to 59,1242.045935,37793.44127,2988.428526,40781.8698
HIV/AIDS,Female,10 to 14,936.756291,69550.80895,1973.657755,71524.4667
HIV/AIDS,Female,30 to 34,3435.918745,187194.0158,7158.16267,194352.1785
HIV/AIDS,Female,60 to 64,695.9951104,18019.35936,1647.018521,19666.37788
HIV/AIDS,Female,25 to 29,1622.304887,96449.67702,3885.237885,100334.9149
HIV/AIDS,Female,45 to 49,4270.030069,169992.6402,8782.316814,178774.957
HIV/AIDS,Female,65 to 69,385.4623917,8283.07781,914.9019352,9197.979745
